 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
     71  6.53E-16  9.05E-16  1.47E-15  2.11E-15  2.67E-15  3.62E-15  4.20E-15  4.95E-15  5.33E-15  6.02E-15  6.97E-15  7.77E-15  8.56E-15  9.36E-15  1.06E-14  1.10E-14  1.17E-14
     72  6.55E-16  9.06E-16  1.47E-15  2.11E-15  2.67E-15  3.64E-15  4.22E-15  4.98E-15  5.33E-15  6.02E-15  6.97E-15  7.76E-15  8.55E-15  9.35E-15  1.06E-14  1.10E-14  1.17E-14
     73  6.58E-16  9.08E-16  1.47E-15  2.11E-15  2.66E-15  3.66E-15  4.24E-15  5.02E-15  5.33E-15  6.03E-15  6.98E-15  7.75E-15  8.54E-15  9.34E-15  1.06E-14  1.10E-14  1.17E-14
     74  6.60E-16  9.10E-16  1.47E-15  2.11E-15  2.66E-15  3.68E-15  4.27E-15  5.06E-15  5.34E-15  6.03E-15  6.98E-15  7.75E-15  8.53E-15  9.33E-15  1.07E-14  1.09E-14  1.17E-14
     75  6.62E-16  9.12E-16  1.47E-15  2.11E-15  2.66E-15  3.70E-15  4.30E-15  5.10E-15  5.35E-15  6.04E-15  6.99E-15  7.74E-15  8.53E-15  9.33E-15  1.07E-14  1.09E-14  1.17E-14
     76  6.62E-16  9.09E-16  1.46E-15  2.09E-15  2.64E-15  3.66E-15  4.25E-15  5.05E-15  5.29E-15  5.97E-15  6.92E-15  7.67E-15  8.46E-15  9.25E-15  1.01E-14  1.09E-14  1.16E-14
     77  6.61E-16  9.06E-16  1.45E-15  2.08E-15  2.62E-15  3.62E-15  4.21E-15  5.01E-15  5.25E-15  5.91E-15  6.85E-15  7.60E-15  8.39E-15  9.18E-15  9.60E-15  1.08E-14  1.15E-14
     78  6.61E-16  9.03E-16  1.45E-15  2.06E-15  2.60E-15  3.59E-15  4.17E-15  4.97E-15  5.21E-15  5.86E-15  6.79E-15  7.54E-15  8.32E-15  9.11E-15  9.15E-15  1.07E-14  1.15E-14
     79  6.61E-16  9.00E-16  1.44E-15  2.04E-15  2.58E-15  3.56E-15  4.13E-15  4.93E-15  5.18E-15  5.80E-15  6.73E-15  7.48E-15  8.26E-15  9.05E-15  8.74E-15  1.06E-14  1.14E-14
     80  6.61E-16  8.97E-16  1.44E-15  2.03E-15  2.57E-15  3.53E-15  4.10E-15  4.90E-15  5.15E-15  5.75E-15  6.67E-15  7.42E-15  8.21E-15  8.99E-15  8.37E-15  1.06E-14  1.13E-14
