   SI----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
   1000 8.200E-17 3.580E-17 1.970E-17 1.100E-17 5.010E-18 2.060E-18 3.820E-18 2.750E-18 1.980E-18 1.310E-18 8.600E-19 5.270E-19 2.280E-19 1.150E-19 1.010E-21 3.090E-22 0.000E+00
   2000 5.640E-17 2.190E-17 1.180E-17 6.340E-18 2.780E-18 1.090E-18 2.510E-18 1.860E-18 1.350E-18 9.080E-19 6.290E-19 4.050E-19 2.270E-19 1.020E-19 4.480E-21 1.650E-21 0.000E+00
   DS----------
 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
      1 3.770E-20 1.500E-22 2.550E-22 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
     10 6.840E-18 1.040E-18 9.010E-20 1.990E-20 3.520E-21 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
     50 1.190E-17 5.910E-18 1.980E-18 5.030E-19 7.370E-20 7.940E-22 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
     75 1.040E-17 6.020E-18 2.620E-18 7.420E-19 1.610E-19 1.630E-21 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    100 8.940E-18 5.790E-18 2.410E-18 8.630E-19 1.900E-19 3.850E-21 5.460E-22 6.000E-22 1.050E-22 0.000E+00 3.560E-24 0.000E+00 6.600E-24 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    200 6.480E-18 4.200E-18 1.940E-18 7.140E-19 1.940E-19 1.130E-20 6.400E-21 6.100E-21 1.490E-21 3.310E-22 1.690E-22 1.130E-22 1.780E-23 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    500 3.310E-18 2.320E-18 1.100E-18 3.380E-19 1.070E-19 2.000E-20 5.130E-20 4.350E-20 1.410E-20 7.170E-21 2.630E-21 7.590E-22 2.640E-22 0.000E+00 0.000E+00 0.000E+00 0.000E+00
   1000 1.830E-18 1.150E-18 5.010E-19 1.530E-19 4.340E-20 1.230E-20 6.430E-20 4.990E-20 2.810E-20 1.480E-20 7.650E-21 2.330E-21 7.290E-22 8.410E-24 0.000E+00 0.000E+00 0.000E+00
   2000 8.980E-20 5.400E-19 2.160E-19 7.730E-20 1.340E-20 5.510E-21 3.950E-20 2.700E-20 2.280E-20 1.250E-20 6.180E-21 2.870E-21 8.080E-22 7.330E-23 0.000E+00 0.000E+00 0.000E+00
