 # Alt [km]  H2 [cm^-3]   He [cm^-3]  CH4 [cm^-3]  Tot [cm^-3]  Temp [K]  Press [mBar]  Scale height [km]
  2632.00    2.512E+05    3.926E+04    6.103E+02    2.911E+05    940.00    3.778E-11       1.794E+07
  2630.00    2.540E+05    3.970E+04    6.171E+02    2.943E+05    940.00    3.820E-11       1.814E+07
  2628.00    2.568E+05    4.014E+04    6.239E+02    2.976E+05    940.00    3.862E-11       1.771E+07
  2626.00    2.597E+05    4.059E+04    6.309E+02    3.009E+05    940.00    3.905E-11       1.791E+07
  2624.00    2.626E+05    4.104E+04    6.380E+02    3.043E+05    940.00    3.949E-11       1.811E+07
  2622.00    2.655E+05    4.150E+04    6.450E+02    3.076E+05    940.00    3.993E-11       1.770E+07
  2620.00    2.685E+05    4.197E+04    6.523E+02    3.111E+05    940.00    4.038E-11       1.732E+07
  2618.00    2.716E+05    4.245E+04    6.598E+02    3.147E+05    940.00    4.084E-11       1.698E+07
  2616.00    2.748E+05    4.295E+04    6.676E+02    3.184E+05    940.00    4.132E-11       1.665E+07
  2614.00    2.781E+05    4.347E+04    6.756E+02    3.222E+05    940.00    4.182E-11       1.636E+07
  2612.00    2.815E+05    4.400E+04    6.839E+02    3.262E+05    940.00    4.233E-11       1.609E+07
  2610.00    2.850E+05    4.455E+04    6.924E+02    3.302E+05    940.00    4.286E-11       1.583E+07
  2608.00    2.886E+05    4.511E+04    7.011E+02    3.344E+05    940.00    4.340E-11       1.519E+07
  2606.00    2.924E+05    4.570E+04    7.104E+02    3.388E+05    940.00    4.397E-11       1.539E+07
  2604.00    2.962E+05    4.630E+04    7.196E+02    3.432E+05    940.00    4.454E-11       1.519E+07
  2602.00    3.001E+05    4.691E+04    7.291E+02    3.477E+05    940.00    4.513E-11       1.539E+07
  2600.00    3.040E+05    4.752E+04    7.385E+02    3.523E+05    940.00    4.572E-11       1.520E+07
  2598.00    3.080E+05    4.814E+04    7.483E+02    3.569E+05    940.00    4.632E-11       1.540E+07
  2596.00    3.120E+05    4.877E+04    7.580E+02    3.615E+05    940.00    4.692E-11       1.522E+07
  2594.00    3.161E+05    4.941E+04    7.679E+02    3.663E+05    940.00    4.754E-11       1.621E+07
  2592.00    3.200E+05    5.002E+04    7.774E+02    3.708E+05    940.00    4.812E-11       1.600E+07
  2590.00    3.240E+05    5.064E+04    7.871E+02    3.754E+05    940.00    4.872E-11       1.662E+07
  2588.00    3.279E+05    5.125E+04    7.966E+02    3.799E+05    940.00    4.931E-11       1.682E+07
  2586.00    3.318E+05    5.186E+04    8.061E+02    3.845E+05    940.00    4.990E-11       1.746E+07
  2584.00    3.356E+05    5.245E+04    8.153E+02    3.889E+05    940.00    5.047E-11       1.766E+07
  2582.00    3.394E+05    5.305E+04    8.245E+02    3.933E+05    940.00    5.104E-11       1.741E+07
  2580.00    3.433E+05    5.366E+04    8.340E+02    3.978E+05    940.00    5.163E-11       1.807E+07
  2578.00    3.471E+05    5.425E+04    8.432E+02    4.022E+05    940.00    5.220E-11       1.780E+07
  2576.00    3.510E+05    5.486E+04    8.527E+02    4.067E+05    940.00    5.278E-11       1.800E+07
  2574.00    3.549E+05    5.547E+04    8.622E+02    4.112E+05    940.00    5.337E-11       1.775E+07
  2572.00    3.589E+05    5.610E+04    8.719E+02    4.159E+05    940.00    5.397E-11       1.751E+07
  2570.00    3.630E+05    5.674E+04    8.819E+02    4.206E+05    940.00    5.459E-11       1.771E+07
  2568.00    3.671E+05    5.738E+04    8.918E+02    4.254E+05    940.00    5.520E-11       1.707E+07
  2566.00    3.714E+05    5.805E+04    9.023E+02    4.304E+05    940.00    5.585E-11       1.688E+07
  2564.00    3.758E+05    5.874E+04    9.130E+02    4.355E+05    940.00    5.651E-11       1.670E+07
  2562.00    3.803E+05    5.944E+04    9.239E+02    4.407E+05    940.00    5.719E-11       1.618E+07
  2560.00    3.850E+05    6.018E+04    9.353E+02    4.461E+05    940.00    5.790E-11       1.604E+07
  2558.00    3.898E+05    6.093E+04    9.470E+02    4.517E+05    940.00    5.862E-11       1.559E+07
  2556.00    3.948E+05    6.171E+04    9.591E+02    4.575E+05    940.00    5.937E-11       1.548E+07
  2554.00    3.999E+05    6.250E+04    9.715E+02    4.634E+05    940.00    6.014E-11       1.538E+07
  2552.00    4.051E+05    6.332E+04    9.842E+02    4.694E+05    940.00    6.092E-11       1.529E+07
  2550.00    4.104E+05    6.415E+04    9.970E+02    4.755E+05    940.00    6.172E-11       1.549E+07
  2548.00    4.157E+05    6.497E+04    1.010E+03    4.817E+05    940.00    6.251E-11       1.569E+07
  2546.00    4.210E+05    6.580E+04    1.023E+03    4.878E+05    940.00    6.331E-11       1.559E+07
  2544.00    4.264E+05    6.665E+04    1.036E+03    4.941E+05    940.00    6.412E-11       1.609E+07
  2542.00    4.317E+05    6.748E+04    1.049E+03    5.002E+05    940.00    6.492E-11       1.629E+07
  2540.00    4.370E+05    6.830E+04    1.062E+03    5.064E+05    940.00    6.572E-11       1.681E+07
  2538.00    4.422E+05    6.912E+04    1.074E+03    5.124E+05    940.00    6.650E-11       1.701E+07
  2536.00    4.474E+05    6.993E+04    1.087E+03    5.184E+05    940.00    6.728E-11       1.755E+07
  2534.00    4.525E+05    7.073E+04    1.099E+03    5.243E+05    940.00    6.805E-11       1.740E+07
  2532.00    4.577E+05    7.154E+04    1.112E+03    5.304E+05    940.00    6.883E-11       1.795E+07
  2530.00    4.628E+05    7.234E+04    1.124E+03    5.363E+05    940.00    6.960E-11       1.780E+07
  2528.00    4.680E+05    7.315E+04    1.137E+03    5.423E+05    940.00    7.038E-11       1.800E+07
  2526.00    4.732E+05    7.396E+04    1.150E+03    5.483E+05    940.00    7.116E-11       1.786E+07
  2524.00    4.785E+05    7.479E+04    1.162E+03    5.545E+05    940.00    7.196E-11       1.772E+07
  2522.00    4.839E+05    7.563E+04    1.176E+03    5.607E+05    940.00    7.277E-11       1.792E+07
  2520.00    4.893E+05    7.648E+04    1.189E+03    5.670E+05    940.00    7.358E-11       1.717E+07
  2518.00    4.950E+05    7.737E+04    1.203E+03    5.736E+05    940.00    7.444E-11       1.737E+07
  2516.00    5.007E+05    7.826E+04    1.216E+03    5.802E+05    940.00    7.530E-11       1.697E+07
  2514.00    5.066E+05    7.918E+04    1.231E+03    5.870E+05    940.00    7.618E-11       1.661E+07
  2512.00    5.127E+05    8.014E+04    1.246E+03    5.941E+05    940.00    7.710E-11       1.628E+07
  2510.00    5.190E+05    8.112E+04    1.261E+03    6.014E+05    940.00    7.805E-11       1.597E+07
  2508.00    5.255E+05    8.214E+04    1.277E+03    6.089E+05    940.00    7.903E-11       1.569E+07
  2506.00    5.322E+05    8.318E+04    1.293E+03    6.167E+05    940.00    8.003E-11       1.543E+07
  2504.00    5.391E+05    8.426E+04    1.310E+03    6.247E+05    940.00    8.107E-11       1.540E+07
  2502.00    5.461E+05    8.536E+04    1.327E+03    6.328E+05    940.00    8.212E-11       1.560E+07
  2500.00    5.531E+05    8.645E+04    1.344E+03    6.409E+05    940.00    8.318E-11       1.536E+07
