 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   H [cm^-2]   Tot [cm^-2]
  2510.00    8.351E+12    3.691E+05    4.273E-27    3.722E+13    4.557E+13
  2508.00    8.422E+12    3.750E+05    4.274E-27    3.743E+13    4.586E+13
  2506.00    8.564E+12    3.872E+05    4.274E-27    3.786E+13    4.643E+13
  2504.00    8.637E+12    3.934E+05    4.274E-27    3.808E+13    4.672E+13
  2502.00    8.783E+12    4.062E+05    4.275E-27    3.851E+13    4.730E+13
  2500.00    8.857E+12    4.128E+05    4.275E-27    3.873E+13    4.759E+13
  2498.00    9.007E+12    4.263E+05    4.275E-27    3.918E+13    4.818E+13
  2496.00    9.083E+12    4.332E+05    4.275E-27    3.940E+13    4.848E+13
  2494.00    9.237E+12    4.474E+05    4.276E-27    3.985E+13    4.909E+13
  2492.00    9.315E+12    4.547E+05    4.276E-27    4.008E+13    4.939E+13
  2490.00    9.472E+12    4.696E+05    4.276E-27    4.054E+13    5.001E+13
  2488.00    9.552E+12    4.772E+05    4.276E-27    4.077E+13    5.032E+13
  2486.00    9.713E+12    4.928E+05    4.276E-27    4.123E+13    5.094E+13
  2484.00    9.795E+12    5.008E+05    4.276E-27    4.146E+13    5.126E+13
  2482.00    9.960E+12    5.171E+05    4.277E-27    4.193E+13    5.189E+13
  2480.00    1.004E+13    5.254E+05    4.277E-27    4.217E+13    5.221E+13
  2478.00    1.021E+13    5.424E+05    4.277E-27    4.264E+13    5.286E+13
  2476.00    1.030E+13    5.512E+05    4.277E-27    4.288E+13    5.318E+13
  2474.00    1.047E+13    5.690E+05    4.277E-27    4.337E+13    5.384E+13
  2472.00    1.056E+13    5.781E+05    4.277E-27    4.361E+13    5.417E+13
  2470.00    1.073E+13    5.967E+05    4.277E-27    4.410E+13    5.483E+13
  2468.00    1.082E+13    6.063E+05    4.277E-27    4.434E+13    5.517E+13
  2466.00    1.100E+13    6.258E+05    4.277E-27    4.484E+13    5.584E+13
  2464.00    1.110E+13    6.359E+05    4.277E-27    4.509E+13    5.618E+13
  2462.00    1.128E+13    6.564E+05    4.277E-27    4.559E+13    5.687E+13
  2460.00    1.138E+13    6.670E+05    4.278E-27    4.584E+13    5.721E+13
  2458.00    1.156E+13    6.885E+05    4.278E-27    4.635E+13    5.791E+13
  2456.00    1.166E+13    6.996E+05    4.278E-27    4.661E+13    5.827E+13
  2454.00    1.186E+13    7.223E+05    4.278E-27    4.712E+13    5.898E+13
  2452.00    1.195E+13    7.341E+05    4.278E-27    4.738E+13    5.934E+13
  2450.00    1.215E+13    7.580E+05    4.278E-27    4.791E+13    6.006E+13
  2448.00    1.226E+13    7.703E+05    4.278E-27    4.817E+13    6.043E+13
  2446.00    1.246E+13    7.955E+05    4.278E-27    4.871E+13    6.117E+13
  2444.00    1.256E+13    8.085E+05    4.278E-27    4.897E+13    6.154E+13
  2442.00    1.277E+13    8.349E+05    4.278E-27    4.952E+13    6.229E+13
  2440.00    1.288E+13    8.485E+05    4.278E-27    4.979E+13    6.267E+13
  2438.00    1.310E+13    8.763E+05    4.278E-27    5.034E+13    6.343E+13
  2436.00    1.321E+13    8.905E+05    4.278E-27    5.061E+13    6.382E+13
  2434.00    1.343E+13    9.196E+05    4.278E-27    5.117E+13    6.460E+13
  2432.00    1.354E+13    9.345E+05    4.278E-27    5.145E+13    6.499E+13
  2430.00    1.376E+13    9.649E+05    4.278E-27    5.201E+13    6.578E+13
  2428.00    1.388E+13    9.805E+05    4.278E-27    5.230E+13    6.617E+13
  2426.00    1.411E+13    1.012E+06    4.278E-27    5.287E+13    6.698E+13
  2424.00    1.422E+13    1.029E+06    4.278E-27    5.315E+13    6.738E+13
  2422.00    1.446E+13    1.062E+06    4.278E-27    5.373E+13    6.819E+13
  2420.00    1.458E+13    1.079E+06    4.278E-27    5.402E+13    6.860E+13
  2418.00    1.482E+13    1.114E+06    4.278E-27    5.461E+13    6.943E+13
  2416.00    1.494E+13    1.132E+06    4.278E-27    5.490E+13    6.985E+13
  2414.00    1.519E+13    1.168E+06    4.278E-27    5.550E+13    7.069E+13
  2412.00    1.532E+13    1.187E+06    4.278E-27    5.579E+13    7.111E+13
  2410.00    1.557E+13    1.225E+06    4.278E-27    5.640E+13    7.196E+13
  2408.00    1.570E+13    1.245E+06    4.278E-27    5.670E+13    7.240E+13
  2406.00    1.596E+13    1.286E+06    4.278E-27    5.731E+13    7.327E+13
  2404.00    1.609E+13    1.306E+06    4.278E-27    5.762E+13    7.371E+13
  2402.00    1.636E+13    1.349E+06    4.278E-27    5.824E+13    7.459E+13
  2400.00    1.649E+13    1.371E+06    4.278E-27    5.855E+13    7.504E+13
  2398.00    1.676E+13    1.416E+06    4.278E-27    5.918E+13    7.594E+13
  2396.00    1.690E+13    1.439E+06    4.278E-27    5.950E+13    7.640E+13
  2394.00    1.718E+13    1.486E+06    4.278E-27    6.014E+13    7.732E+13
  2392.00    1.732E+13    1.510E+06    4.278E-27    6.046E+13    7.778E+13
  2390.00    1.761E+13    1.559E+06    4.278E-27    6.111E+13    7.872E+13
  2388.00    1.775E+13    1.585E+06    4.278E-27    6.144E+13    7.919E+13
  2386.00    1.805E+13    1.636E+06    4.278E-27    6.209E+13    8.014E+13
  2384.00    1.820E+13    1.663E+06    4.278E-27    6.243E+13    8.062E+13
  2382.00    1.850E+13    1.717E+06    4.278E-27    6.309E+13    8.159E+13
  2380.00    1.865E+13    1.745E+06    4.278E-27    6.343E+13    8.208E+13
  2378.00    1.895E+13    1.801E+06    4.278E-27    6.411E+13    8.306E+13
  2376.00    1.911E+13    1.830E+06    4.278E-27    6.445E+13    8.356E+13
  2374.00    1.943E+13    1.889E+06    4.278E-27    6.513E+13    8.456E+13
  2372.00    1.959E+13    1.920E+06    4.278E-27    6.548E+13    8.506E+13
  2370.00    1.991E+13    1.982E+06    4.278E-27    6.617E+13    8.608E+13
  2368.00    2.007E+13    2.013E+06    4.278E-27    6.652E+13    8.659E+13
  2366.00    2.040E+13    2.078E+06    4.278E-27    6.723E+13    8.763E+13
  2364.00    2.057E+13    2.111E+06    4.278E-27    6.758E+13    8.815E+13
  2362.00    2.091E+13    2.179E+06    4.278E-27    6.829E+13    8.920E+13
  2360.00    2.108E+13    2.215E+06    4.278E-27    6.865E+13    8.973E+13
  2358.00    2.142E+13    2.286E+06    4.278E-27    6.938E+13    9.080E+13
  2356.00    2.160E+13    2.323E+06    4.278E-27    6.974E+13    9.134E+13
  2354.00    2.196E+13    2.399E+06    4.278E-27    7.048E+13    9.244E+13
  2352.00    2.214E+13    2.438E+06    4.278E-27    7.085E+13    9.299E+13
  2350.00    2.250E+13    2.517E+06    4.278E-27    7.160E+13    9.410E+13
  2348.00    2.269E+13    2.558E+06    4.278E-27    7.197E+13    9.466E+13
  2346.00    2.306E+13    2.642E+06    4.278E-27    7.273E+13    9.579E+13
  2344.00    2.325E+13    2.685E+06    4.278E-27    7.311E+13    9.636E+13
  2342.00    2.363E+13    2.773E+06    4.278E-27    7.388E+13    9.752E+13
  2340.00    2.383E+13    2.818E+06    4.278E-27    7.427E+13    9.810E+13
  2338.00    2.422E+13    2.911E+06    4.278E-27    7.505E+13    9.927E+13
  2336.00    2.442E+13    2.958E+06    4.278E-27    7.544E+13    9.986E+13
  2334.00    2.482E+13    3.055E+06    4.278E-27    7.623E+13    1.011E+14
  2332.00    2.503E+13    3.104E+06    4.278E-27    7.663E+13    1.017E+14
  2330.00    2.544E+13    3.205E+06    4.278E-27    7.743E+13    1.029E+14
