 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   Tot [cm^-2]  Scale height [km]
  2496.00    9.083E+12    1.420E+12    2.207E+10    4.993E+13     1.576E+07
  2494.00    9.237E+12    1.444E+12    2.244E+10    5.055E+13     1.596E+07
  2492.00    9.315E+12    1.456E+12    2.263E+10    5.087E+13     1.639E+07
  2490.00    9.472E+12    1.481E+12    2.301E+10    5.151E+13     1.683E+07
  2488.00    9.552E+12    1.493E+12    2.321E+10    5.183E+13     1.703E+07
  2486.00    9.713E+12    1.518E+12    2.360E+10    5.248E+13     1.723E+07
  2484.00    9.795E+12    1.531E+12    2.380E+10    5.281E+13     1.768E+07
  2482.00    9.960E+12    1.557E+12    2.420E+10    5.347E+13     1.763E+07
  2480.00    1.004E+13    1.570E+12    2.440E+10    5.381E+13     1.783E+07
  2478.00    1.021E+13    1.596E+12    2.481E+10    5.448E+13     1.777E+07
  2476.00    1.030E+13    1.610E+12    2.502E+10    5.482E+13     1.772E+07
  2474.00    1.047E+13    1.637E+12    2.544E+10    5.550E+13     1.792E+07
  2472.00    1.056E+13    1.650E+12    2.565E+10    5.584E+13     1.740E+07
  2470.00    1.073E+13    1.678E+12    2.608E+10    5.653E+13     1.737E+07
  2468.00    1.082E+13    1.692E+12    2.630E+10    5.688E+13     1.734E+07
  2466.00    1.100E+13    1.720E+12    2.673E+10    5.759E+13     1.688E+07
  2464.00    1.110E+13    1.734E+12    2.696E+10    5.794E+13     1.646E+07
  2462.00    1.128E+13    1.763E+12    2.741E+10    5.866E+13     1.627E+07
  2460.00    1.138E+13    1.778E+12    2.763E+10    5.902E+13     1.591E+07
  2458.00    1.156E+13    1.808E+12    2.810E+10    5.975E+13     1.575E+07
  2456.00    1.166E+13    1.823E+12    2.833E+10    6.012E+13     1.544E+07
  2454.00    1.186E+13    1.853E+12    2.880E+10    6.086E+13     1.531E+07
  2452.00    1.195E+13    1.868E+12    2.904E+10    6.123E+13     1.535E+07
  2450.00    1.215E+13    1.900E+12    2.953E+10    6.199E+13     1.539E+07
  2448.00    1.226E+13    1.916E+12    2.977E+10    6.237E+13     1.559E+07
  2446.00    1.246E+13    1.948E+12    3.027E+10    6.314E+13     1.562E+07
  2444.00    1.256E+13    1.964E+12    3.052E+10    6.353E+13     1.582E+07
  2442.00    1.277E+13    1.997E+12    3.103E+10    6.432E+13     1.602E+07
  2440.00    1.288E+13    2.013E+12    3.129E+10    6.471E+13     1.639E+07
  2438.00    1.310E+13    2.047E+12    3.182E+10    6.551E+13     1.676E+07
  2436.00    1.321E+13    2.064E+12    3.208E+10    6.592E+13     1.696E+07
  2434.00    1.343E+13    2.098E+12    3.262E+10    6.673E+13     1.716E+07
  2432.00    1.354E+13    2.116E+12    3.289E+10    6.714E+13     1.736E+07
  2430.00    1.376E+13    2.151E+12    3.344E+10    6.796E+13     1.738E+07
  2428.00    1.388E+13    2.169E+12    3.371E+10    6.838E+13     1.758E+07
  2426.00    1.411E+13    2.205E+12    3.427E+10    6.921E+13     1.760E+07
  2424.00    1.422E+13    2.223E+12    3.456E+10    6.964E+13     1.745E+07
  2422.00    1.446E+13    2.260E+12    3.513E+10    7.049E+13     1.747E+07
  2420.00    1.458E+13    2.279E+12    3.542E+10    7.092E+13     1.733E+07
  2418.00    1.482E+13    2.317E+12    3.601E+10    7.178E+13     1.736E+07
